text,intent_id,intent_label
"is something wrong with my account, my balance didn't change after i transferred some money",5,balance_not_updated_after_bank_transfer
can i get a card outside the uk?,24,country_support
i have a disposable card but it does not work?,72,virtual_card_not_working
what is the reason for this fee i got after a simple cash withdrawal?,19,cash_withdrawal_charge
what's the process for id verification?,69,verify_my_identity
how do i re-add a card to the app?,13,card_linking
will you charge me for topping up with a european card?,57,top_up_by_card_charge
"i tempted to get some money out of the machine earlier and it did not work.looking now, the transaction actually shows to still be in progress. i would certainly appreciate someone look into this and let me know what's going on. i definitely do not want to be charged for money i never received.",46,pending_cash_withdrawal
how do i top up my google pay?,2,apple_pay_or_google_pay
my account shows a direct debit charge that i have never seen before,28,direct_debit_payment_not_recognised
what should i do if i can't prove my identity.,68,unable_to_verify_identity
"i have a disposable virtual card here, so would you tell me what to do with it?",37,get_disposable_virtual_card
i tried to transfer money and it did not work.,35,failed_transfer
why does it say my transfer failed?,35,failed_transfer
"how do i reset my pin, i can't seem to use my card?",49,pin_blocked
how long does it take for money to transfer as my balance hasn't been updated,5,balance_not_updated_after_bank_transfer
is it possible to hold money in multiple currencies?,36,fiat_currency_support
can we skip verifying?,74,why_verify_identity
i have tried to use my card several times and it does not work.,14,card_not_working
where do i go to change my pin?,21,change_pin
will it cost more money if my currency needs to be exchanged?,31,exchange_charge
"i tried to add a topup to my account but the money isn't there, anymore. did i do something wrong?",61,top_up_reverted
what is this extra fee on my statement.,34,extra_charge_on_statement
do all businesses take this card?,10,card_acceptance
i would like to see the source of my money.,70,verify_source_of_funds
can i get a card? i live in the us.,24,country_support
i have one other credit card from the us. do you take it?,54,supported_cards_and_currencies
what is the process to create a disposable virtual card?,37,get_disposable_virtual_card
"why am i being charged for atm cash withdrawals? the only reason i use it is because it's been free! now you expect me to pay for them, and how much is that going to cost me?",19,cash_withdrawal_charge
i can't find my password,44,passcode_forgotten
your exchange rates are coming from where?,32,exchange_rate
unable to use my american express with apple pay to top up my account,2,apple_pay_or_google_pay
it's been some time since refilled the top-up.,47,pending_top_up
i refuse to verify my identity.,74,why_verify_identity
where do you find your exchange rates?,32,exchange_rate
i would like to link my card. how do i do it?,13,card_linking
can i give a second card for this account to my daughter?,39,getting_spare_card
what is the delivery time to the us?,12,card_delivery_estimate
i was charged an additional amount of money for making a purchase with my card,15,card_payment_fee_charged
what do i do when a charge has been made that i did not make?,20,cash_withdrawal_not_recognised
i could only take the amount of money that was available to me which was less then i expected.,75,wrong_amount_of_cash_received
are there limits on the virtual cards?,29,disposable_card_limits
my card doesn't seem to work.,14,card_not_working
can i add to my account balance with a cheque?,58,top_up_by_cash_or_cheque
how long does a check take to show up in the account balance?,6,balance_not_updated_after_cheque_or_cash_deposit
is there a reason why my transaction is taking so long?,66,transfer_not_received_by_recipient
it didn't give me my cash,75,wrong_amount_of_cash_received
i would like to purchase another card.,39,getting_spare_card
"i don't see my refund money yet in my account. i asked the merchant a while ago for a refund, so i don't know what's taking so long. can you look into it and see if the money is there, just not in my account yet?",51,Refund_not_showing_up
my payment was rejected,25,declined_card_payment
i cannot verify my identity,68,unable_to_verify_identity
"i have an account at another bank, but i want to transfer some of the money to my account here. .",65,transfer_into_account
i didn't receive all the cash i asked for,75,wrong_amount_of_cash_received
how can disposable cards be used?,37,get_disposable_virtual_card
i am travelling for two more weeks but really need to change my pin asap. what do i do?,21,change_pin
my card was taken by the atm.,18,card_swallowed
hello! i recently made a purchase and i'm needing to cancel my order and process a refund as soon as possible.,52,request_refund
i was at an atm and it swallowed my card.,18,card_swallowed
can you tell me why i haven't received my new card yet?,11,card_arrival
i want to get a visa card,73,visa_or_mastercard
i don't think i should have been charged a fee to use my card.,15,card_payment_fee_charged
i forgot my pin and am blocked now. can i reset it somewhere?,49,pin_blocked
"my card details could be stolen, as i didnt make these transactions",22,compromised_card
why won't the atm let me withdraw money?,26,declined_cash_withdrawal
"need a new card, mine is expiring.",9,card_about_to_expire
why was there an extra charge with the withdrawal of my money?,19,cash_withdrawal_charge
do you accept other currencies besides us dollars?,54,supported_cards_and_currencies
do you accept all cards and currencies?,54,supported_cards_and_currencies
"my card payment reverted back, i think.",53,reverted_card_payment?
the app is saying i made a withdrawl but i didn't.,20,cash_withdrawal_not_recognised
why am i being charge a fee when using an atm?,19,cash_withdrawal_charge
how long until my card is delivered?,12,card_delivery_estimate
when will my new card arrive?,11,card_arrival
what do i do if my payment was reverted?,53,reverted_card_payment?
when can i expect the transfer to be complete?,67,transfer_timing
i cannot use my disposable virtual card.,72,virtual_card_not_working
can i use your app to exchange usd for gbp?,33,exchange_via_app
i think i was wrongly charged in a recent transaction when i used my card.,15,card_payment_fee_charged
how do i get my paycheck through this?,50,receiving_money
how do i activate my new card i just got?,0,activate_my_card
what can i use a virtual disposable card for?,29,disposable_card_limits
my cash deposit from a week ago is still not in my account. can you help me please?,6,balance_not_updated_after_cheque_or_cash_deposit
i did not receive my full withdrawal amount,75,wrong_amount_of_cash_received
i would like to activate my card.,0,activate_my_card
there is a direct debit fee in the app that i didn't do.,28,direct_debit_payment_not_recognised
how do i link my replacement card?,13,card_linking
how does my identity get verified?,69,verify_my_identity
how can i activate the new card i got?,0,activate_my_card
how much will i pay to exchange foreign currency?,31,exchange_charge
i'm unsure of a withdrawl in my statement.,20,cash_withdrawal_not_recognised
why do you guys need to verify my identity?,74,why_verify_identity
i'm having difficulties changing aud for gbp. how do i do this?,33,exchange_via_app
i am not happy with this product can i get a refund?,52,request_refund
what documentation do you accept for the identity check?,69,verify_my_identity
i am very dissatisfied with the services that you are providing. i want to cancel my account.,55,terminate_account
"if i get a transfer from europe, how long until it is in my account?",67,transfer_timing
how do i verify my source of funds?,70,verify_source_of_funds
"hey i double checked that i have the correct account details already, they're right for sure. transfer is still pending since forever. it's not that difficult to transfer money to another country in 2018 is it?",48,pending_transfer
i need a new pin.,21,change_pin
"i just want to top-up, why do i need to verify anything?",71,verify_top_up
how long will it take to get my refund,51,Refund_not_showing_up
can i pay online with my card?,10,card_acceptance
how do i obtain a second card?,39,getting_spare_card
i tried to get cash in the atm but it was not approved,26,declined_cash_withdrawal
can you tell me why you won't let me get my own money out of the money machine? i know i used the right pin.,26,declined_cash_withdrawal
what are weekend rates for getting cash,76,wrong_exchange_rate_for_cash_withdrawal
i am still waiting on my card?,11,card_arrival
i just topped off my card will i be charged for it?,57,top_up_by_card_charge
how is an exchange rate calculated?,32,exchange_rate
